ParName   Value   Gradient
theta[2]      7.85573  -0.00424223
theta[6]      1.75718 -9.78348e-06
Grwth[1]      25.0713 -0.000244748
Grwth[2]    0.0888268   0.00484521
Grwth[3]      3.67312 -6.11942e-06
Grwth[4]      141.433 -0.000133808
Grwth[5]    0.0871407  0.000116552
log_slx_pars[1]      4.78271   1.0719e-05
log_slx_pars[2]      3.19509  2.33495e-05
log_slx_pars[3]      4.91535  1.88716e-05
log_slx_pars[4]      2.12236  8.37751e-06
log_slx_pars[6]      4.91614  0.000190368
log_slx_pars[7]     0.790392 -3.34884e-06
log_fbar[1]    -0.984687 -0.000891463
log_fbar[2]     -8.37665 -3.80289e-06
log_fdev[1](1)     -2.19275  2.41484e-05
log_fdev[1](2)     -1.14776   2.0693e-05
log_fdev[1](3)    -0.807122 -4.56711e-05
log_fdev[1](4)     -0.51996 -0.000120201
log_fdev[1](5)   0.00820509 -5.45105e-05
log_fdev[1](6)     0.334933 -5.63329e-05
log_fdev[1](7)     0.130724 -0.000127031
log_fdev[1](8)     0.690181 -8.32707e-05
log_fdev[1](9)       1.1681 -2.77954e-05
log_fdev[1](10)     0.530057 -2.37343e-05
log_fdev[1](11)     0.712653  2.13733e-05
log_fdev[1](12)     0.776166   8.1209e-06
log_fdev[1](13)     0.304654 -2.20341e-05
log_fdev[1](14)     0.575819 -1.69073e-05
log_fdev[1](15)     0.775162 -3.72101e-05
log_fdev[1](16)     0.487452 -2.07451e-06
log_fdev[1](17)     0.398751  2.81813e-06
log_fdev[1](18)     0.316551  6.56929e-07
log_fdev[1](19)     0.111841 -6.57041e-06
log_fdev[1](20)   -0.0297447  -3.5868e-05
log_fdev[1](21)    -0.156305 -6.28519e-05
log_fdev[1](22)    -0.387358 -8.89908e-05
log_fdev[1](23)    -0.397314 -0.000102372
log_fdev[1](24)    -0.446747 -0.000108147
log_fdev[1](25)    -0.325299  8.49639e-05
log_fdev[1](26)    -0.216696  7.03282e-05
log_fdev[1](27)    -0.263716  2.64464e-05
log_fdev[1](28)    -0.240672 -2.59207e-05
log_fdev[1](29)     -0.21935  -3.1726e-05
log_fdev[1](30)    -0.266245 -5.24234e-05
log_fdev[1](31)    -0.264518 -3.50378e-05
log_fdev[1](32)    -0.205333  3.99555e-05
log_fdev[1](33)     -0.12651  2.01656e-05
log_fdev[1](34)   -0.0563969  -1.8208e-05
log_fdev[1](35)     0.115982 -3.94506e-05
log_fdev[1](36)      0.20653 -1.33527e-05
log_fdev[1](37)     0.167514 -3.60261e-05
log_fdev[1](38)     0.241726 -2.91563e-05
log_fdev[1](39)     0.280693 -4.71996e-05
log_fdev[1](40)   0.00476536 -4.83809e-05
log_fdev[1](41)   -0.0686105  -1.6969e-05
log_fdev[2](1)    -0.379031  1.88985e-07
log_fdev[2](2)     0.737042 -4.25188e-07
log_fdev[2](3)   -0.0352113 -2.90071e-06
log_fdev[2](4)   -0.0552652  -1.0642e-07
log_fdev[2](5)     -1.25127  5.89674e-07
log_fdev[2](6)    -0.152986 -2.86704e-07
log_fdev[2](7)     -1.39125  7.98462e-07
log_fdev[2](8)     -2.38775 -6.26902e-07
log_fdev[2](9)     -0.18128 -1.75934e-06
log_fdev[2](10)     -0.76116  1.58803e-06
log_fdev[2](11)    -0.306436 -3.09095e-07
log_fdev[2](12)    0.0793845  1.30744e-06
log_fdev[2](13)     0.405953  1.52463e-06
log_fdev[2](14)    -0.178515 -1.91574e-06
log_fdev[2](15)     -1.61433 -2.73787e-07
log_fdev[2](16)     0.202615 -3.84842e-06
log_fdev[2](17)     0.750672 -5.46619e-08
log_fdev[2](18)      0.23007  -4.3742e-06
log_fdev[2](19)     0.985712  7.86153e-07
log_fdev[2](20)     0.251356  1.88368e-06
log_fdev[2](21)      1.36114 -7.32597e-07
log_fdev[2](22)       1.2091  7.23217e-08
log_fdev[2](23)      1.40633  1.55247e-06
log_fdev[2](24)     0.784459 -5.47194e-07
log_fdev[2](25)      0.71514  3.86549e-07
log_fdev[2](26)    -0.122312  2.57371e-06
log_fdev[2](27)    -0.388444  1.26457e-06
log_fdev[2](28)    0.0193303 -1.33912e-06
log_fdev[2](29)    0.0104351   4.9931e-07
log_fdev[2](30)     0.787639 -1.18081e-07
log_fdev[2](31)     -0.86461  4.98707e-07
log_fdev[2](32)     0.133473 -1.10865e-06
rec_dev_est(1960)    -0.119317 -2.08196e-06
rec_dev_est(1961)    -0.119171 -3.81044e-06
rec_dev_est(1962)    -0.119132 -8.89253e-06
rec_dev_est(1963)    -0.119444 -9.86993e-06
rec_dev_est(1964)    -0.120275 -8.96258e-06
rec_dev_est(1965)    -0.121843 -1.04469e-05
rec_dev_est(1966)    -0.124425 -1.44295e-05
rec_dev_est(1967)    -0.128364 -1.11827e-05
rec_dev_est(1968)    -0.134064 -2.55089e-05
rec_dev_est(1969)    -0.141985 -2.80594e-05
rec_dev_est(1970)    -0.152607 -2.61719e-05
rec_dev_est(1971)    -0.166381 -2.74527e-05
rec_dev_est(1972)    -0.183644 -3.77377e-05
rec_dev_est(1973)    -0.204504 -4.96046e-05
rec_dev_est(1974)    -0.228695 -6.02018e-05
rec_dev_est(1975)      -0.2554 -6.93125e-05
rec_dev_est(1976)    -0.283056 -8.89821e-05
rec_dev_est(1977)    -0.309098 -8.68243e-05
rec_dev_est(1978)    -0.329557 -0.000110755
rec_dev_est(1979)    -0.338293 -0.000139043
rec_dev_est(1980)    -0.326446 -0.000150815
rec_dev_est(1981)    -0.286743 -0.000146388
rec_dev_est(1982)    -0.226817 -0.000142124
rec_dev_est(1983)    -0.167649 -0.000114353
rec_dev_est(1984)    -0.225997 -9.98346e-05
rec_dev_est(1985)    -0.613338 -4.79042e-05
rec_dev_est(1986)    -0.177197 -4.56415e-05
rec_dev_est(1987)     0.766885  -3.6693e-05
rec_dev_est(1988)    -0.511773 -1.18514e-05
rec_dev_est(1989)     0.207584 -1.51962e-05
rec_dev_est(1990)     0.210647 -6.62112e-05
rec_dev_est(1991)    0.0679656 -1.30834e-05
rec_dev_est(1992)    -0.115639 -5.56228e-05
rec_dev_est(1993)   -0.0479137 -7.05694e-05
rec_dev_est(1994)   -0.0184508 -0.000109031
rec_dev_est(1995)    -0.339134 -9.27003e-05
rec_dev_est(1996)     0.167892 -0.000159659
rec_dev_est(1997)     0.127445 -0.000168102
rec_dev_est(1998)    0.0492774 -0.000130801
rec_dev_est(1999)     0.165462 -0.000134459
rec_dev_est(2000)    -0.348171 -5.51493e-05
rec_dev_est(2001)   -0.0862914 -5.44265e-05
rec_dev_est(2002)    -0.348563 -2.83662e-05
rec_dev_est(2003)    -0.530477 -2.97634e-05
rec_dev_est(2004)     0.145712 -7.20518e-05
rec_dev_est(2005)    -0.105689 -6.00718e-05
rec_dev_est(2006)    -0.288229 -3.06206e-05
rec_dev_est(2007)   -0.0053678 -3.66717e-05
rec_dev_est(2008)    -0.110887 -4.31253e-06
rec_dev_est(2009)     -0.26893  -2.8107e-05
rec_dev_est(2010)    -0.293827 -3.54191e-05
rec_dev_est(2011)    -0.336842 -3.33663e-05
rec_dev_est(2012)    -0.366999  -3.1802e-05
rec_dev_est(2013)    -0.189056 -4.84676e-05
rec_dev_est(2014)    0.0917975 -6.73408e-05
rec_dev_est(2015)     0.114387 -4.97453e-05
rec_dev_est(2016)     0.198974 -5.78976e-05
rec_dev_est(2017)     0.377164 -3.09036e-05
rec_dev_est(2018)     0.086888 -1.15072e-05
rec_dev_est(2019)    -0.126997  3.24639e-06
rec_dev_est(2020)    -0.293288  3.04423e-06
rec_dev_est(2021)    -0.125293 -2.69647e-06
survey_q[1]  0.000540645  2.33491e-06
survey_q[2]  0.000463893  5.60358e-06
survey_q[3]   0.00062762 -4.13828e-06
log_add_cv[1]     -1.74023  9.19079e-08
log_add_cv[2]      -1.4691 -8.97174e-08
log_add_cv[3]     -1.64105  1.23393e-06
