ParName   Value   Gradient
theta[2]      7.69401  -0.00341377
theta[6]      0.96132 -8.45629e-05
Grwth[1]      25.1902 -4.98474e-05
Grwth[2]    0.0902372   2.6898e-05
Grwth[3]      3.66811  4.62212e-05
Grwth[4]      141.101 -5.71429e-05
Grwth[5]      0.10294  0.000217549
log_slx_pars[1]      4.90441  7.00876e-05
log_slx_pars[2]      2.91374  1.53633e-05
log_slx_pars[3]      4.90109  5.51122e-05
log_slx_pars[4]      2.00623  8.36315e-05
log_slx_pars[6]      4.91272  6.93195e-05
log_slx_pars[7]      0.62552  5.44368e-05
log_fbar[1]    -0.718153 -0.000909575
log_fbar[2]     -8.18565   5.1358e-05
log_fdev[1](1)     -3.92326 -1.54818e-05
log_fdev[1](2)    -0.445992  0.000129289
log_fdev[1](3)   -0.0379613  0.000366992
log_fdev[1](4)     -1.85403 -0.000519055
log_fdev[1](5)    -0.273619 -0.000241558
log_fdev[1](6)     0.808568 -0.000573108
log_fdev[1](7)     0.599716 -1.41881e-05
log_fdev[1](8)     0.669049 -0.000166322
log_fdev[1](9)      1.18503  8.09811e-05
log_fdev[1](10)      0.85183  0.000162001
log_fdev[1](11)     0.704687  0.000147549
log_fdev[1](12)     0.394754  1.12432e-05
log_fdev[1](13)    -0.114612 -5.58048e-05
log_fdev[1](14)     0.870074 -1.48622e-05
log_fdev[1](15)     0.637698 -0.000325193
log_fdev[1](16)     0.591044 -3.26778e-05
log_fdev[1](17)     0.417869 -0.000147385
log_fdev[1](18)     0.171893 -2.34219e-05
log_fdev[1](19)     0.432451  4.77573e-05
log_fdev[1](20)     0.515593  0.000236447
log_fdev[1](21)     0.368471 -1.55438e-06
log_fdev[1](22)     0.169229 -0.000214253
log_fdev[1](23)    0.0391328 -0.000174191
log_fdev[1](24)   -0.0693481 -6.51823e-05
log_fdev[1](25)    -0.219853  0.000260929
log_fdev[1](26)     -0.41513  0.000122936
log_fdev[1](27)    -0.320543  0.000120342
log_fdev[1](28)    -0.396978 -9.27143e-05
log_fdev[1](29)    -0.312398 -4.55666e-05
log_fdev[1](30)    -0.279694  3.46245e-05
log_fdev[1](31)    -0.208256  9.77284e-05
log_fdev[1](32)   -0.0500996  0.000277467
log_fdev[1](33)     0.135939  0.000178907
log_fdev[1](34)    0.0980813  0.000227107
log_fdev[1](35)  -0.00311245 -4.80196e-05
log_fdev[1](36)    -0.212383 -0.000271893
log_fdev[1](37)    -0.304442 -0.000316705
log_fdev[1](38)    -0.221798 -0.000282174
log_fdev[1](39)   -0.0727308 -8.77185e-05
log_fdev[1](40)     0.051629 -4.54349e-05
log_fdev[1](41)    0.0234897   0.00015133
log_fdev[2](1)     -2.53245  5.99764e-05
log_fdev[2](2)    -0.559936  2.87368e-05
log_fdev[2](3)      -3.4198 -4.43466e-05
log_fdev[2](4)    -0.646921  1.10978e-05
log_fdev[2](5)     -2.12991 -4.69347e-05
log_fdev[2](6)    -0.171482  1.71322e-05
